Id	MallType	MallSubType	PosIndex	Discount	Price	IapID	Items	AmountPerUser	AmountPerRound	BestDeal	TeSell	ExpiredDate
401	3	0	0	100	3:5;		#		1			
501	1	2	1	100	3:5;		50010000:5:5					
502	1	2	2	80	3:8;		50010000:10:5					
503	1	2	3	50	3:15;		50010000:30:5					
601	1	3	1	100	3:50;		10010000:6999:1					
602	1	3	2	90	3:100;		10010000:16999:1					
603	1	3	3	80	3:199;		10010000:36999:1					
604	1	3	4	80	3:499;		10010000:99999:1					
605	1	3	5	70	3:899;		10010000:199999:1					
701	1	4	1	100	5:6;	Buy_Goods_701	40010000:60:4					
702	1	4	2	100	5:30;	Buy_Goods_702	40010000:300:4					
703	1	4	3	90	5:60;	Buy_Goods_703	40010000:666:4					
704	1	4	4	80	5:88;	Buy_Goods_704	40010000:1099:4					
705	1	4	5	80	5:128;	Buy_Goods_705	40010000:1599:4					
706	1	4	6	70	5:168;	Buy_Goods_706	40010000:2280:4					
801	5	0	0	100	3:20;		#					
802	5	0	0	100	0:500;		#					
803	5	0	0	100	3:10;		#					
110010001	1	1	0	100	5:6;	Buy_Goods_110010001	110010001:1:11					2100/1/1
110020000	1	1	0	70	5:12;	Buy_Goods_110020000	110020000:1:11					2100/1/1
110030000	1	1	0	70	5:18;	Buy_Goods_110030000	110030000:1:11					2100/1/1
110040000	1	1	0	60	5:6;	Buy_Goods_110040000	110040000:1:11					2100/1/1
120010001	4	0	0	100	1:8;		120010001:1:12;	1				
120010002	4	0	0	100	1:8;		120010002:1:12;	1				
120010003	4	0	0	100	1:8;		120010003:1:12;	1				
120010004	4	0	0	100	1:8;		120010004:1:12;	1				
120010005	4	0	0	100	1:8;		120010005:1:12;	1				
120010006	4	0	0	100	1:8;		120010006:1:12;	1				
120010007	4	0	0	100	1:8;		120010007:1:12;	1				
120010008	4	0	0	100	1:8;		120010008:1:12;	1				
120010009	4	0	0	100	1:8;		120010009:1:12;	1				
120020001	4	0	0	100	1:8;		120020001:1:12;	1				
120020002	4	0	0	100	1:8;		120020002:1:12;	1				
120020003	4	0	0	100	1:8;		120020003:1:12;	1				
120020004	4	0	0	100	1:8;		120020004:1:12;	1				
120020005	4	0	0	100	1:8;		120020005:1:12;	1				
120020006	4	0	0	100	1:8;		120020006:1:12;	1				
120020007	4	0	0	100	1:8;		120020007:1:12;	1				
120020008	4	0	0	100	1:8;		120020008:1:12;	1				
120020009	4	0	0	100	1:8;		120020009:1:12;	1				
120020010	4	0	0	100	1:8;		120020010:1:12;	1				
120020011	4	0	0	100	1:8;		120020011:1:12;	1				
120020012	4	0	0	100	1:8;		120020012:1:12;	1				
120020013	4	0	0	100	1:8;		120020013:1:12;	1				
120020014	4	0	0	100	1:8;		120020014:1:12;	1				
120020015	4	0	0	100	1:8;		120020015:1:12;	1				
120020016	4	0	0	100	1:8;		120020016:1:12;	1				
120030001	4	0	0	100	1:8;		120030001:1:12;	1				
120030002	4	0	0	100	1:8;		120030002:1:12;	1				
120030003	4	0	0	100	1:8;		120030003:1:12;	1				
120030004	4	0	0	100	1:8;		120030004:1:12;	1				
120030005	4	0	0	100	1:8;		120030005:1:12;	1				
120030006	4	0	0	100	1:8;		120030006:1:12;	1				
120030007	4	0	0	100	1:8;		120030007:1:12;	1				
120030008	4	0	0	100	1:8;		120030008:1:12;	1				
120030009	4	0	0	100	1:8;		120030009:1:12;	1				
120030010	4	0	0	100	1:8;		120030010:1:12;	1				
120030011	4	0	0	100	1:8;		120030011:1:12;	1				
120030012	4	0	0	100	1:8;		120030012:1:12;	1				
120030013	4	0	0	100	1:8;		120030013:1:12;	1				
120030014	4	0	0	100	1:8;		120030014:1:12;	1				
120030015	4	0	0	100	1:8;		120030015:1:12;	1				
120030016	4	0	0	100	1:8;		120030016:1:12;	1				
120040001	4	0	0	100	1:8;		120040001:1:12;	1				
120040002	4	0	0	100	1:8;		120040002:1:12;	1				
120040003	4	0	0	100	1:8;		120040003:1:12;	1				
120040004	4	0	0	100	1:8;		120040004:1:12;	1				
150020000	4	0	1	100	$		150020000:1:15	1				
150030000	4	0	3	100	$		150030000:1:15	1				
150040000	4	0	4	100	$		150040000:1:15	1				
150050000	4	0	2	100	$		150050000:1:15	1				
160010000	2	5	0	100	0:300;		160010000:1:16					
160020000	2	5	1	100	0:300;		160020000:1:16					
160030000	2	5	2	100	0:300;		160030000:1:16					
160050000	2	5	4	100	0:400;		160050000:1:16					
160060000	2	6	0	100	0:300;		160060000:1:16					
160070000	2	6	0	100	0:300;		160070000:1:16					
160080000	2	6	0	100	0:300;		160080000:1:16					
160090000	2	6	0	100	0:300;		160090000:1:16					
160100000	2	6	0	100	0:300;		160100000:1:16					
160110000	2	6	0	100	0:300;		160110000:1:16					
160130000	2	6	0	100	0:300;		160130000:1:16					
160140000	2	6	0	100	0:300;		160140000:1:16					
