Id	NameID	IconResName	Type	DescriptionID	Items	ResolveValue
10010000	1	icon_JinBi	1		#	#
20010000	2	icon_SuiPian	2		#	#
40010000	4	icon_ZuanShi2	4		#	#
50010000	5	icon_TiLi	5		#	#
110010001	110010001	icon_ZengJiaTiLiShangXian	11	110010101	#	#
110020000	110020000	icon_JinBi_X2	11	110020100	#	#
110030000	110030000	icon_ChouJiangCiShu_X2	11	110030100	#	#
110040000	110040000	icon_FenJieHuoDeSuiPian_X2	11	110040100	#	#
120010000	120010000	icon_PingTu	12		#	#
120010001	120010001	icon_PingTu	12		#	1:2
120010002	120010002	icon_PingTu	12		#	1:2
120010003	120010003	icon_PingTu	12		#	1:2
120010004	120010004	icon_PingTu	12		#	1:2
120010005	120010005	icon_PingTu	12		#	1:2
120010006	120010006	icon_PingTu	12		#	1:2
120010007	120010007	icon_PingTu	12		#	1:2
120010008	120010008	icon_PingTu	12		#	1:2
120010009	120010009	icon_PingTu	12		#	1:2
120020000	120020000	icon_PingTu	12		#	#
120020001	120020001	icon_PingTu	12		#	1:2
120020002	120020002	icon_PingTu	12		#	1:2
120020003	120020003	icon_PingTu	12		#	1:2
120020004	120020004	icon_PingTu	12		#	1:2
120020005	120020005	icon_PingTu	12		#	1:2
120020006	120020006	icon_PingTu	12		#	1:2
120020007	120020007	icon_PingTu	12		#	1:2
120020008	120020008	icon_PingTu	12		#	1:2
120020009	120020009	icon_PingTu	12		#	1:2
120020010	120020010	icon_PingTu	12		#	1:2
120020011	120020011	icon_PingTu	12		#	1:2
120020012	120020012	icon_PingTu	12		#	1:2
120020013	120020013	icon_PingTu	12		#	1:2
120020014	120020014	icon_PingTu	12		#	1:2
120020015	120020015	icon_PingTu	12		#	1:2
120020016	120020016	icon_PingTu	12		#	1:2
120030000	120030000	icon_PingTu	12		#	#
120030001	120030001	icon_PingTu	12		#	1:2
120030002	120030002	icon_PingTu	12		#	1:2
120030003	120030003	icon_PingTu	12		#	1:2
120030004	120030004	icon_PingTu	12		#	1:2
120030005	120030005	icon_PingTu	12		#	1:2
120030006	120030006	icon_PingTu	12		#	1:2
120030007	120030007	icon_PingTu	12		#	1:2
120030008	120030008	icon_PingTu	12		#	1:2
120030009	120030009	icon_PingTu	12		#	1:2
120030010	120030010	icon_PingTu	12		#	1:2
120030011	120030011	icon_PingTu	12		#	1:2
120030012	120030012	icon_PingTu	12		#	1:2
120030013	120030013	icon_PingTu	12		#	1:2
120030014	120030014	icon_PingTu	12		#	1:2
120030015	120030015	icon_PingTu	12		#	1:2
