Id	Type	RelatedMissions	RelatedProps	Quotas	Rewards	BeginTime	EndTime	AutoCollect	Valid	TipId	TipDesc	ExpiredRestart	Priority
1	3			5004:1:1:1:true	40010000:25:4			FALSE	TRUE	90001	通过第1关	TRUE	88
2	3	1		5004:1:1:3:true	40010000:25:4			FALSE	TRUE	90002	通过第3关	TRUE	96
3	3	2		5004:1:1:5:true	40010000:25:4			FALSE	TRUE	90003	通过第5关	TRUE	96
4	3	3		5004:1:1:8:true	40010000:25:4			FALSE	TRUE	90004	通过第8关	TRUE	96
5	3	4		5004:1:1:10:true	40010000:25:4			FALSE	TRUE	90005	通过第10关	TRUE	96
6	3	5		5004:1:1:11:true	40010000:25:4			FALSE	TRUE	90006	通过第11关	TRUE	96
7	3	6		5004:1:1:13:true	40010000:30:4			FALSE	TRUE	90007	通过第13关	TRUE	96
8	3	7		5004:1:1:15:true	40010000:30:4			FALSE	TRUE	90008	通过第15关	TRUE	96
9	3	8		5004:1:1:17:true	40010000:30:4			FALSE	TRUE	90009	通过第17关	TRUE	96
10	3	9		5004:1:1:19:true	40010000:30:4			FALSE	TRUE	90010	通过第19关	TRUE	96
11	3	10		5004:1:1:20:true	40010000:30:4			FALSE	TRUE	90011	通过第20关	TRUE	96
12	3	11		5004:1:1:22:true	40010000:30:4			FALSE	TRUE	90012	通过第22关	TRUE	96
13	3	12		5004:1:1:24:true	40010000:30:4			FALSE	TRUE	90013	通过第24关	TRUE	96
14	3	13		5004:1:1:25:true	40010000:30:4			FALSE	TRUE	90014	通过第25关	TRUE	96
15	3			4013:0:0:1:false	160030000:5:16			FALSE	TRUE	90015	拾取@4013@个护盾	TRUE	89
16	3			4012:0:0:60:false	50010000:5:5			FALSE	TRUE	90016	拾取@4012@个银币	TRUE	89
17	3	15		4014:0:0:1:false	160020000:5:16			FALSE	TRUE	90017	拾取一个生命心	TRUE	95
18	3	17		4009:1:1:3:false	160050000:5:16			FALSE	TRUE	90018	单局拾取3个能量石	TRUE	97
19	3	16		4001:0:0:35:false	10010000:1500:1			FALSE	TRUE	90019	拾取@4001@个金币	TRUE	97
20	3	18		4012:1:1:30:false	10010000:1800:1			FALSE	TRUE	90020	单局内拾取30个银币	TRUE	97
21	3	20		1003:0:0:12:false	160020000:10:16			FALSE	TRUE	90021	拾取@1003@个电珠	TRUE	97
22	3	19		5005:0:0:3:false	10010000:2000:1			FALSE	TRUE	90022	成功完成@5005@局游戏	TRUE	97
23	3	21		3008:1:1:5:false	160030000:10:16			FALSE	TRUE	90023	单局激活5个笨炸弹	TRUE	97
24	3	23		4008:0:0:4:false	20010000:1:2			FALSE	TRUE	90024	拾取@4008@个能量石	TRUE	97
25	3	22		4001:0:0:40:false	10010000:2000:1			FALSE	TRUE	90025	拾取@4001@个金币	TRUE	97
26	3	25		7005:0:0:20:false	50010000:10:5			FALSE	TRUE	90026	打破@7005@个木桶	TRUE	97
27	3	24		4003:0:0:1:false	10010000:2000:1			FALSE	TRUE	90028	拾取@4003@个闪电道具	TRUE	97
28	3	27		4012:1:1:35:false	10010000:1800:1			FALSE	TRUE	90020	单局内拾取35个银币	TRUE	97
29	3	26		1003:0:0:13:false	10010000:2200:1			FALSE	TRUE	90029	拾取@1003@个电珠	TRUE	97
30	3	28		3003:0:0:1:false	160050000:10:16			FALSE	TRUE	90030	摧毁@3003@个地刺	TRUE	97
31	3	30		4008:0:0:4:false	10010000:2200:1			FALSE	TRUE	90031	拾取@4008@个能量石	TRUE	97
