CheckPointId	UnlockGoodsId
1	409
2	409
3	409
4	409
5	409
6	409
7	409
8	409
9	409
10	409
11	409
12	409
13	409
14	409
15	409
16	409
17	409
18	409
19	409
20	409
21	409
22	409
23	409
24	409
25	409
26	409
27	409
28	409
29	409
30	409
31	409
32	409
33	409
34	409
35	409
36	409
37	409
38	409
39	409
40	409
41	409
42	409
43	409
44	409
45	409
46	409
47	409
48	409
49	409
50	409
51	409
52	409
53	409
54	409
55	409
56	409
57	409
58	409
59	409
60	409
61	409
62	409
63	409
64	409
65	409
66	409
67	409
68	409
69	409
70	409
71	409
72	409
73	409
74	409
75	409
76	409
77	409
78	409
79	409
80	409
81	409
82	409
83	409
84	409
85	409
86	409
87	409
88	409
89	409
90	409
91	409
92	409
93	409
94	409
95	409
96	409
97	409
98	409
99	409
100	409
