Id	MallType	MallSubType	PosIndex	Discount	Price	IapID	Items	AmountPerUser	AmountPerRound	AmountPerDay	BestDeal	TeSell	ExpiredDate	Valid	Icon	Name	Description	Label	DisplayIds	GiftIds	Multiple
401	3	0	0	100	3:5;		#	0	1	0				TRUE	0			0			0
402	6	0	0	100	3:68;		#	0	1	0				TRUE	0			0			0
403	6	0	0	100	3:88;		#	0	1	0				TRUE	0			0			0
404	6	0	0	100	3:108;		#	0	1	0				TRUE	0			0			0
405	6	0	0	100	3:128;		#	0	1	0				TRUE	0			0			0
406	6	0	0	100	3:148;		#	0	1	0				TRUE	0			0			0
407	6	0	0	100	3:168;		#	0	1	0				TRUE	0			0			0
408	6	0	0	100	3:48;		#	0	1	0				TRUE	0			0			0
409	6	0	0	100	3:10;		#	0	1	0				TRUE	0			0			0
501	1	2	1	100	3:5;		50010000:5:5	0	0	0				TRUE	100020			0			0
502	1	2	2	80	3:8;		50010000:10:5	0	0	0				TRUE	100021			200027			0
503	1	2	4	50	3:15;		50010000:30:5	0	0	0				TRUE	100022			200024			0
504	1	2	3	60	3:12;		50010000:20:5	0	0	0				TRUE	100022			200025			0
601	1	3	1	100	3:50;		10010000:6999:1	0	0	0				TRUE	100000			0			0
602	1	3	2	90	3:100;		10010000:16999:1	0	0	0				TRUE	100001			200028			0
603	1	3	3	80	3:199;		10010000:36999:1	0	0	0				TRUE	100002			200027			0
604	1	3	4	80	3:499;		10010000:99999:1	0	0	0				TRUE	100003			200027			0
605	1	3	5	70	3:899;		10010000:199999:1	0	0	0				TRUE	100004			200026			0
701	1	4	7	100	5:6;	Buy_Goods_00701	40010000:68:4	0	0	0				TRUE	100010	68个钻石		0			0
702	1	4	8	100	5:30;	Buy_Goods_0702	40010000:348:4	0	0	0				TRUE	100011	348个钻石		0			0
704	1	4	10	80	5:88;	Buy_Goods_0704	40010000:1098:4	0	0	0				TRUE	100013	1098个钻石		200027			0
706	1	4	12	70	5:168;	Buy_Goods_0706	40010000:2288:4	0	0	0				TRUE	100015	2288个钻石		200026			0
707	1	4	1	100	5:6;	Buy_Goods_0707	40010000:136:4	1	0	0				TRUE	100010	首次购买赠送68钻石	首次购买赠送68钻石。	0			2
708	1	4	2	100	5:30;	Buy_Goods_0708	40010000:696:4	1	0	0				TRUE	100011	首次购买赠送348钻石	首次购买赠送348钻石。	0			2
710	1	4	4	100	5:88;	Buy_Goods_0710	40010000:2196:4	1	0	0				TRUE	100013	首次购买赠送1098钻石	首次购买赠送1098钻石。	0			2
712	1	4	6	100	5:168;	Buy_Goods_0712	40010000:4576:4	1	0	0				TRUE	100015	首次购买赠送2288钻石	首次购买赠送2288钻石。	0			2
801	5	0	0	100	3:20;		#	0	0	0				TRUE	0			0			0
802	5	0	0	100	0:500;		#	0	0	0				TRUE	0			0			0
803	5	0	0	100	3:10;		#	0	0	0				TRUE	0			0			0
901	1	7	2	100	5:1;	Buy_Goods_0901	40010000:20:4;50010000:5:5;160030000:5:16;160020000:5:16	0	0	1				TRUE	100008	道具补充包	点击查看礼包详情	200031		50010000;160030000;160020000	0
902	1	7	7	100	5:3;	Buy_Goods_0905	40010000:40:4;50010000:10:5;160030000:10:16;160020000:10:16	0	0	0				TRUE	100008	强力道具包	点击查看礼包详情	200029		50010000;160030000;160020000	0
903	1	7	1	100	5:6;	Buy_Goods_0902	40010000:88:4;150050000:1:15;	1	0	0				TRUE	100007	首充(送角色)	点击查看礼包详情	200031		150050000	0
904	1	7	3	100	5:25;	Buy_Goods_0903	40010000:88:4;150030000:1:15;	1	0	0				TRUE	100007	一冲到底礼包	点击查看礼包详情	200031		150030000	0
905	1	7	4	100	5:30;	Buy_Goods_0904	40010000:88:4;150040000:1:15;	1	0	0				TRUE	100005	一触即爆礼包	点击查看礼包详情	200031		150040000	0
906	1	7	5	100	5:3;	Buy_Goods_0906	40010000:30:4;110010001:168:11;110020000:168:11;110030000:168:11;110040000:168:11	0	0	0				TRUE	100006	快乐奔跑礼包	点击查看礼包详情	200024		110010001;110020000;110030000;110040000	0
907	1	7	6	100	5:12;	Buy_Goods_0907	40010000:120:4;110010001:720:11;110020000:720:11;110030000:720:11;110040000:720:11	0	0	0				TRUE	100006	尽情酷跑礼包	点击查看礼包详情	200024		110010001;110020000;110030000;110040000	0
908	1	7	8	100	5:3;	Buy_Goods_0908	40010000:10:4;160150000:5:16	0	0	0				TRUE	100006	闪电礼包	点击查看礼包详情	200024			0
110050000	1	1	0	100	3:120;		110010001:168:11;50010000:10:5	0	0	0				TRUE	200000	体力充沛(7天)	体力上限增加到20	0	110010001		0
110060000	1	1	0	70	3:240;		110020000:168:11	0	0	0				TRUE	200001	财源广进(7天)	游戏结算时获得双倍金块	0	110020000		0
110070000	1	1	0	70	3:180;		110030000:168:11;170010000:2:17	0	0	0				TRUE	200002	转转达人(7天)	每天可以免费玩3次转转	0	110030000		0
110080000	1	1	0	60	3:120;		110040000:168:11	0	0	0				TRUE	200003	高能分解(7天)	分解获得碎片翻倍	0	110040000		0
120010001	4	0	0	100	1:8;		120010001:1:12;	1	0	0				TRUE	0			0			0
120010002	4	0	0	100	1:8;		120010002:1:12;	1	0	0				TRUE	0			0			0
120010003	4	0	0	100	1:8;		120010003:1:12;	1	0	0				TRUE	0			0			0
120010004	4	0	0	100	1:8;		120010004:1:12;	1	0	0				TRUE	0			0			0
120010005	4	0	0	100	1:8;		120010005:1:12;	1	0	0				TRUE	0			0			0
120010006	4	0	0	100	1:8;		120010006:1:12;	1	0	0				TRUE	0			0			0
120020001	4	0	0	100	1:8;		120020001:1:12;	1	0	0				TRUE	0			0			0
120020002	4	0	0	100	1:8;		120020002:1:12;	1	0	0				TRUE	0			0			0
120020003	4	0	0	100	1:8;		120020003:1:12;	1	0	0				TRUE	0			0			0
120020004	4	0	0	100	1:8;		120020004:1:12;	1	0	0				TRUE	0			0			0
120020005	4	0	0	100	1:8;		120020005:1:12;	1	0	0				TRUE	0			0			0
120020006	4	0	0	100	1:8;		120020006:1:12;	1	0	0				TRUE	0			0			0
120020007	4	0	0	100	1:8;		120020007:1:12;	1	0	0				TRUE	0			0			0
120020008	4	0	0	100	1:8;		120020008:1:12;	1	0	0				TRUE	0			0			0
120030001	4	0	0	100	1:8;		120030001:1:12;	1	0	0				TRUE	0			0			0
120030002	4	0	0	100	1:8;		120030002:1:12;	1	0	0				TRUE	0			0			0
120030003	4	0	0	100	1:8;		120030003:1:12;	1	0	0				TRUE	0			0			0
120030004	4	0	0	100	1:8;		120030004:1:12;	1	0	0				TRUE	0			0			0
120030005	4	0	0	100	1:8;		120030005:1:12;	1	0	0				TRUE	0			0			0
120030006	4	0	0	100	1:8;		120030006:1:12;	1	0	0				TRUE	0			0			0
