Level	BeginRank	EndRank	Items
1	1	1	10010000:1500:1
1	2	3	10010000:1200:1
1	4	10	10010000:1000:1
1	11	20	10010000:700:1
1	21	30	10010000:500:1
2	1	1	10010000:1800:1;160030000:3:16
2	2	3	10010000:1500:1;160030000:2:16
2	4	10	10010000:1200:1;160030000:1:16
2	11	20	10010000:1000:1
2	21	30	10010000:1000:1
3	1	1	10010000:2000:1;160020000:4:16
3	2	3	10010000:1800:1;160020000:3:16
3	4	10	10010000:1500:1;160020000:2:16
3	11	20	10010000:1500:1
3	21	30	10010000:1200:1
4	1	1	10010000:2800:1;40010000:20:4
4	2	2	10010000:2300:1;40010000:10:4
4	3	5	10010000:1800:1;40010000:10:4
4	6	10	10010000:1500:1;160020000:2:16
4	11	20	10010000:1500:1
5	1	1	10010000:3000:1;40010000:25:4;20010000:2:2
5	2	2	10010000:2500:1;40010000:20:4;20010000:1:2
5	3	5	10010000:2000:1;40010000:20:4;20010000:1:2
5	6	10	10010000:2000:1;40010000:15:4
5	11	20	10010000:2000:1;40010000:10:4
6	1	1	10010000:4500:1;40010000:30:4;110010001:48:11
6	2	2	10010000:4000:1;40010000:25:4;110010001:48:11
6	3	3	10010000:3000:1;40010000:25:4;110010001:24:11
6	4	5	10010000:2800:1;40010000:25:4;20010000:1:2
6	6	10	10010000:2800:1;40010000:20:4;20010000:1:2
6	11	15	10010000:2500:1;40010000:20:4;20010000:1:2
7	1	1	10010000:5000:1;40010000:40:4;110010001:48:11;110020000:48:11;110030000:48:11;110040000:48:11
7	2	2	10010000:4500:1;40010000:35:4;110010001:48:11;110020000:48:11;110030000:48:11;110040000:48:11
7	3	3	10010000:4000:1;40010000:30:4;110010001:24:11;110020000:24:11;110030000:24:11;110040000:24:11
7	4	5	10010000:3500:1;40010000:30:4;110010001:24:11;110020000:24:11;110030000:24:11;110040000:24:11
7	6	7	10010000:3000:1;40010000:25:4;110010001:24:11;110020000:24:11;110030000:24:11;110040000:24:11
7	8	10	10010000:2800:1;40010000:20:4;110010001:24:11;110020000:24:11;110030000:24:11;110040000:24:11
