RoleLevelID	GoldBonus	ScoreBonus	Price
150000000	50	50	0
150010001	1	1	0
150020001	1	1	3:400;
150020002	2	2	0:200;
150020003	3	3	0:400;
150020004	4	4	0:600;
150020005	5	5	0:800;
150020006	6	6	0:1000;
150020007	7	7	0:1200;
150020008	8	8	0:1400;
150020009	9	9	0:1600;
150020010	10	10	0:1800;
150020011	11	11	0:2000;
150020012	12	12	0:2200;
150020013	13	13	0:2400;
150020014	14	14	0:2600;
150020015	15	15	0:2800;
150020016	16	16	0:3000;
150020017	17	17	0:3200;
150020018	18	18	0:3400;
150020019	19	19	0:3600;
150020020	20	20	0:3800;
150020021	21	21	0:4000;
150020022	22	22	0:4200;
150020023	23	23	0:4400;
150020024	24	24	0:4600;
150020025	25	25	0:4800;
150020026	26	26	0:5000;
150020027	27	27	0:5200;
150020028	28	28	0:5400;
150020029	29	29	0:5600;
150020030	30	30	0:5800;
150020031	31	31	0:6000;
150020032	32	32	0:6200;
150020033	33	33	0:6400;
150020034	34	34	0:6600;
150020035	35	35	0:6800;
150020036	36	36	0:7000;
150020037	37	37	0:7200;
150020038	38	38	0:7400;
150020039	39	39	0:7600;
150020040	40	40	0:7800;
150030001	1	1	3:1000;
150030002	2	2	0:200;
150030003	3	3	0:400;
150030004	4	4	0:600;
150030005	5	5	0:800;
150030006	6	6	0:1000;
150030007	7	7	0:1200;
150030008	8	8	0:1400;
150030009	9	9	0:1600;
150030010	10	10	0:1800;
150030011	11	11	0:2000;
150030012	12	12	0:2200;
150030013	13	13	0:2400;
150030014	14	14	0:2600;
150030015	15	15	0:2800;
150030016	16	16	0:3000;
150030017	17	17	0:3200;
150030018	18	18	0:3400;
150030019	19	19	0:3600;
150030020	20	20	0:3800;
150030021	21	21	0:4000;
150030022	22	22	0:4200;
150030023	23	23	0:4400;
150030024	24	24	0:4600;
150030025	25	25	0:4800;
150030026	26	26	0:5000;
150030027	27	27	0:5200;
150030028	28	28	0:5400;
150030029	29	29	0:5600;
150030030	30	30	0:5800;
150030031	31	31	0:6000;
150030032	32	32	0:6200;
150030033	33	33	0:6400;
150030034	34	34	0:6600;
150030035	35	35	0:6800;
150030036	36	36	0:7000;
150030037	37	37	0:7200;
150030038	38	38	0:7400;
150030039	39	39	0:7600;
150030040	40	40	0:7800;
150030041	41	41	0:8000;
150030042	42	42	0:8200;
150030043	43	43	0:8400;
150030044	44	44	0:8600;
150030045	45	45	0:8800;
150030046	46	46	3:120;
150030047	47	47	3:120;
150030048	48	48	3:120;
150030049	49	49	3:120;
150030050	50	50	3:120;
150030051	51	51	3:120;
150030052	52	52	3:120;
150030053	53	53	3:120;
