Id	Type	Items	ResolveValue	LottoValue	Valid
10010000	1	#	#	0	TRUE
20010000	2	#	#	0	TRUE
40010000	4	#	#	0	TRUE
50010000	5	#	#	0	TRUE
110010001	11	#	#	0	TRUE
110020000	11	#	#	0	TRUE
110030000	11	#	#	0	TRUE
110040000	11	#	#	0	TRUE
120010000	12	#	#	0	TRUE
120010001	12	#	1:8	0	TRUE
120010002	12	#	1:8	0	TRUE
120010003	12	#	1:8	0	TRUE
120010004	12	#	1:8	0	TRUE
120010005	12	#	1:8	0	TRUE
120010006	12	#	1:8	0	TRUE
120020000	12	#	#	0	TRUE
120020001	12	#	1:8	0	TRUE
120020002	12	#	1:8	0	TRUE
120020003	12	#	1:8	0	TRUE
120020004	12	#	1:8	0	TRUE
120020005	12	#	1:8	0	TRUE
120020006	12	#	1:8	0	TRUE
120020007	12	#	1:8	0	TRUE
120020008	12	#	1:8	0	TRUE
120030000	12	#	#	0	TRUE
120030001	12	#	1:8	0	TRUE
120030002	12	#	1:8	0	TRUE
120030003	12	#	1:8	0	TRUE
120030004	12	#	1:8	0	TRUE
120030005	12	#	1:8	0	TRUE
120030006	12	#	1:8	0	TRUE
120030007	12	#	1:8	0	TRUE
120030008	12	#	1:8	0	TRUE
120040000	12	#	#	0	TRUE
120040001	12	#	1:8	0	TRUE
120040002	12	#	1:8	0	TRUE
121010000	12	#	#	0	TRUE
121010001	12	#	1:2	0	TRUE
121010002	12	#	1:2	0	TRUE
121010003	12	#	1:2	0	TRUE
121010004	12	#	1:2	0	TRUE
121020000	12	#	#	0	TRUE
121020001	12	#	1:2	0	TRUE
121020002	12	#	1:2	0	TRUE
121020003	12	#	1:2	0	TRUE
121020004	12	#	1:2	0	TRUE
121030000	12	#	#	0	TRUE
121030001	12	#	1:2	0	TRUE
121030002	12	#	1:2	0	TRUE
121030003	12	#	1:2	0	TRUE
121030004	12	#	1:2	0	TRUE
121040000	12	#	#	0	TRUE
121040001	12	#	1:2	0	TRUE
121040002	12	#	1:2	0	TRUE
121040003	12	#	1:2	0	TRUE
121040004	12	#	1:2	0	TRUE
121050000	12	#	#	0	TRUE
121050001	12	#	1:2	0	TRUE
121050002	12	#	1:2	0	TRUE
121050003	12	#	1:2	0	TRUE
121050004	12	#	1:2	0	TRUE
121060000	12	#	#	0	TRUE
121060001	12	#	1:2	0	TRUE
121060002	12	#	1:2	0	TRUE
121060003	12	#	1:2	0	TRUE
121060004	12	#	1:2	0	TRUE
121070000	12	#	#	0	TRUE
121070001	12	#	1:2	0	TRUE
121070002	12	#	1:2	0	TRUE
121070003	12	#	1:2	0	TRUE
121070004	12	#	1:2	0	TRUE
121080000	12	#	#	0	TRUE
121080001	12	#	1:2	0	TRUE
121080002	12	#	1:2	0	TRUE
121080003	12	#	1:2	0	TRUE
121080004	12	#	1:2	0	TRUE
121090000	12	#	#	0	TRUE
121090001	12	#	1:2	0	TRUE
121090002	12	#	1:2	0	TRUE
121090003	12	#	1:2	0	TRUE
121090004	12	#	1:2	0	TRUE
140160000	14	40010000:100:4	#	0	TRUE
140170000	14	120070002:1:12	#	0	TRUE
140180000	14	120090003:1:12	#	0	TRUE
140190000	14	120110001:1:12	#	0	TRUE
140200000	14	120120001:1:12	#	0	TRUE
140210000	14	120010001:1:12	#	0	TRUE
140220000	14	120020003:1:12	#	0	TRUE
140230000	14	120030004:1:12	#	0	TRUE
140240000	14	120080001:1:12	#	0	TRUE
140250000	14	120100001:1:12	#	0	TRUE
140260000	14	40010000:50:4	#	0	TRUE
140270000	14	160020000:5:16;160050000:4:16;160030000:10:16	#	0	TRUE
140280000	14	150030000:1:15;120010001:1:12;120010002:1:12;120010003:1:12;120010004:1:12;120010005:1:12;120010006:	#	0	TRUE
140290000	14	40010000:20:4;50010000;5;5;160030000:2:16;160020000:2:16;	#	0	TRUE
140300000	14	160050000:3:16;50010000:5:5;160020000:2:16;10010000:5000:1	#	0	TRUE
